component,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,mnemonic_code,trap_oid,match_trap_name,description,impact_on_system,possible_causes,procedure,parameters
dc,0x00003328,hwL2vpnOamDbdi,Minor,communicationsAlarm,Raise,hwL2vpnOamDbdi,1.3.6.1.4.1.2011.5.25.119.9.2.29,hwL2vpnOamDbdiClear,"OAM reported a BDI alarm. (ServiceType=[ServiceType], ProtocolType=[ProtocolType], VcID=[VcID], VcType=[VcType], PeerAddr=[PeerAddr], IfIndex=[IfIndex], PwMaster=[PwMaster], RmtSiteID=[RmtSiteID], InLabel=[InLabel], OutLabel=[OutLabel], IfName=[IfName], VsiName=[VsiName]) OAM received a BDI packet.",After OAM is deployed and an APS instance is bound to the PW protection group: The service traffic will be switched from the primary PW to the secondary PW if OAM reports an alarm about the primary PW. The service traffic will not be switched or affected if OAM reports an alarm about the secondary PW.,Cause 1: MPLS OAM configurations were incorrect. Cause 2: The PW detected by OAM became faulty.,"The troubleshooting procedure is as follows: 1. Run the display mpls l2vc or display mpls static-l2vc command to check whether the status and type of the PW fault are consistent with that reported by the alarm. If they are consistent, go to Step 2. If they are inconsistent, go to Step 5. 2. Run the display mpls oam l2vc all verbose command to check whether the status and type of the MPLS OAM fault are consistent with that reported by the alarm. If they are consistent, go to Step 3. If they are inconsistent, go to Step 5.",ServiceType::Type of the service: 0: VPWS. 1: VPLS. | ProtocolType::Type of the protocol: 0: SVC. 1: LDP. 2: BGP (not supported for the time being). | VcID::VC ID. | VcType::VC type. | PeerAddr::IP address of the peer. | IfIndex::Interface index. | PwMaster::PW identifier: 1: primary PW. 2: secondary PW. | RmtSiteID::Remote site ID. | InLabel::VC in-label. | OutLabel::VC out-label. | IfName::Interface name. | VsiName::VSI name.
dc,0x0813007C,hwLosAlarm,Critical,communicationsAlarm,Raise,hwPhysicalPortLosAlarm,1.3.6.1.4.1.2011.5.25.157.2.9,hwLosAlarmResume,"Loss of signal alarm. (hwPhysicalPortIfIndex=[hwPhysicalPortIfIndex],SlotID=[hwPhysicalPortInSlot],CardID=[hwPhysicalPortInCard],PortID=[hwPhysicalPortInPort],InterfaceName=[hwPhyPortName],AlarmName=[hwPhysicalPortAlarmName]) Loss of signal alarm. In VS mode, this trap is supported only by the admin VS.",A service switchover or interruption will occur.,"Cause 0: The optical fiber was broken. Cause 1: The optical loss was beyond the normal range. Cause 2: The remote device failed to send the optical signal. Cause 3: The corresponding interface board of the remote device failed, was not installed, or was not installed properly. Cause 4: The clock board of the remote device failed.","1.Check whether any optical fiber is connected to the optical interface. If no optical fiber is used, shut down the laser of the optical interface and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 9. 2.Check whether the optical fiber is broken. If the optical fiber is broken, replace the optical fiber and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 9. 3.Check whether the receive optical power of the local device is less than the minimum value. If the receive optical power is less than the minimum value, clean the optical fiber connector and the optical interface on the interface board. Check that the flange and the optical attenuator are properly connected and the optical attenuator value is in the normal range. Then check whether the alarm is cleared.",hwPhysicalPortIfIndex::Index of physical port | hwPhysicalPortInSlot::Slot ID | hwPhysicalPortInCard::Card ID | hwPhysicalPortInPort::Port ID | hwPhyPortName::Port name | hwPhysicalPortAlarmName::Alarm name
dc,0x08130017,hwFanInvalid,Critical,equipmentAlarm,Raise,hwFanInvalid,1.3.6.1.4.1.2011.5.25.219.2.6.5,hwFanInvalidResume-139273,"The fan module failed. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityTrapFaultID=139273,EntityOperStatus=[EntityOperStatus],EntityTrapReasonDescr=The second 48V power supply of the fan module is faulty.) The fan function is disabled. In VS mode, this trap is supported only by the admin VS.",This problem affects heat dissipation of the router; it will not affect services in a short time period but needs a speedy solution.,The second 48V power supply of the fan module is faulty.,"1. Remove and re-install the problem fan module. Then, check whether the alarm is cleared. If the alarm is cleared, go to Step 5. If the alarm persists, go to Step 2. 2. Swap the slot of the problem fault module with that of a normal fan module. Then, check whether the alarm is cleared. If the problem fan module still reports the alarm in the new slot, go to Step 3. If the slot housing the problem fan module reports the alarm, go to Step 4. 3. Replace the problem fan module. Then, check whether the alarm is cleared.",EntityPhysicalIndex::The index for this entry. | EntPhysicalIndex::The index for this entry. | EntityPhysicalName::Indicates the name of the physical entity. | EntityTrapFaultID::To describe the fault id of trap. | EntityOperStatus::Indicates the status of the physical entity. | EntityTrapReasonDescr::Indicates the reason.
dc,0x00F10219,hwL3vpnIpv6RouteThresholdClear,Warning,qualityOfServiceAlarm,Clear,hwL3vpnIpv6RouteThresholdExceed,1.3.6.1.4.1.2011.5.25.145.34.4,hwIpv6RouteThresholdExceed,"The number of IPv6 routes in the VPN instance fell below the alarm threshold multiplied by the maximum value. (VPN instance name=[vpnName], number of existing routes=[current], alarm threshold=[midThreshold])",Services will not be affected.,Cause 1: Routes were deleted by a specific protocol. Cause 2: Configuration of the routing-table limit command was deleted or modified to increase the limit on the maximum number of routes so that the number of the VPN IPv6 routes was lower than the middle threshold.,"Collect alarm information and configuration information, and then contact technical support personnel.",vpnName::VPN instance name. | current::Current number of IPv6 routes in the VPN instance. | midThreshold::Middle threshold value.
dc,0x00F10216,hwMplsLdpMultiLinkConfigInconsistent,Warning,communicationsAlarm,Raise,hwMplsLdpMultiLinkConfigConflict,1.3.6.1.4.1.2011.5.25.143.2.5,hwMplsLdpMultiLinkCfgInconsistentClear,"MPLS LDP multi-link or local-remote adjacencys configurations are inconsistent, LDP Session or LSP maybe interrupts. (VrfName=[VrfName], PeerLsrId=[PeerLsrId], LocalLsrId=[LocalLsrId], ConfigIfName=[ConfigIfName], ConfigRmtPeerIp=[ConfigRmtPeerIp], ConfigType=[ConfigType], EffectKa=[EffectKa], EffectTa=[EffectTa], EffectLam=[EffectLam]) This object indicates that MPLS LDP multi-link (including local and remote coexistence sessions) configurations are inconsistent.","When multiple links or local and remote coexistent neighbors are configured for an LDP session, if the link parameters are inconsistent, the link cannot be added to the session. As a result, multiple links cannot be created as expected.","When LDP sessions are configured with multiple links or local-remote adjacencies, link parameters may be inconsistent.","1. If ConfigType in the alarm information is Keepalive Hold Timer, check whether the keepalive-hold timer configurations in the session's interface or remote-peer views are consistent. If they are inconsistent, modify the keepalive-hold timer configurations in the interface or remote-peer views to make the configurations consistent. Then, go to Step 5. If they are the same, go to Step 6. 2. If ConfigType in the alarm information is Transport Address, check whether the transport-address configurations in the session's interface views are consistent. If they are inconsistent, modify the transport-address configurations in the interface views to make them consistent. Then, go to Step 5. If they are the same, go to Step 6. 3. If ConfigType in the alarm information is Label Advertisement Mode, check whether the advertisement configurations in the session's interface or remote-peer views are consistent.",VrfName::VRF name of LDP session exists. | PeerLsrId::LDP session ID. | LocalLsrId::Local LSR ID. | ConfigIfName::Configure the current interface name. | ConfigRmtPeerIp::Configure the IP address of the remote session. | ConfigType::Configuration inconsistent type. | EffectKa::KeepAlive value used by the LDP session. | EffectTa::LDP transport addresses used by the session. | EffectLam::Peer use label advertisement mode.
dc,0x00F1FEF8,hwCesDcrUnlock,Major,qualityOfServiceAlarm,Raise,hwCesDcrUnlock,1.3.6.1.4.1.2011.5.25.157.2.346,hwCesDcrUnlockResume,"The DCR clock is unlocked. (IfIndex=[IfIndex], VcId=[VcId], VcType=[VcType], PeerAddress=[PeerAddress], InterfaceName=[InterfaceName]) The recovered clock was out of lock after DCR configuration for CES services.",Services are compromised for a long time.,1. DCR is enabled on only one end. 2. The clocks of the local and peer devices are not synchronous.,"1. Check whether the DCR and clock configurations are correct. If they are correct, check whether the alarm is cleared. If so, go to Step 3. If not, go to Step 2. 2. Collect alarm, log, and configuration information, and contact technical support. 3. End.",IfIndex::Interface index. | VcId::Identifier of a virtual circuit. | VcType::Type of a virtual circuit. | PeerAddress::Peer IP address. | InterfaceName::Interface name.
dc,0x08130059,hwOpticalInvalid,Critical,equipmentAlarm,Clear,hwOpticalInvalid,1.3.6.1.4.1.2011.5.25.219.2.4.6,hwOpticalInvalid-136204,"The optical module resumed from total failure. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityTrapFaultID=136204)",Services are not affected.,The optical module laser was restored to normal.,,EntityPhysicalIndex::Index of the physical entity. | EntPhysicalIndex::Index of the physical entity. | EntityPhysicalName::Name of the physical entity. | EntityTrapFaultID::Error code.
dc,0x00F1019D,hwVPLSNotSupportTunnelAlarm,Warning,qualityOfServiceAlarm,Raise,hwVPLSNotSupportTunnelAlarm,1.3.6.1.4.1.2011.5.25.42.2.1.7.48,hwVPLSNotSupportTunnelAlarmResume,"The public network tunnel of VPLS PW cannot forward traffic. (VsiName=[hwNotSupportTunnelVSIName], RemoteIp=[hwPWPeerRemoteIp], PwId=[hwNotSupportTunnelPwId], TunnelType=[hwNotSupportTunnelType]) The public network tunnel type configured for the VPLS PW service does not support traffic forwarding.",VPLS PW traffic fails to be forwarded.,"Cause 1: The VPLS PW is carried over a BGP over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 2: The VPLS PW is carried over a BGP over LDP over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 3: The VPLS PW is carried over a LDP over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 4: The VPLS PW is carried over a GRE tunnel, VPN QoS is configured, and the signaling protocol status of the VPLS PW is up. Cause 5: The VPLS PW is carried over a E2E-SRTE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 6: The VPLS PW is carried over an SLSP over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 7: The VPLS PW is carried over a BGP over SLSP over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 8: The VPLS PW is carried over a TE over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 9: The VPLS PW is carried over a SR-POLICY tunnel, and the signaling protocol status of the VPLS PW is up. Cause 10: The VPLS PW is carried over a BGP over SR-POLICY tunnel, and the signaling protocol status of the VPLS PW is up. Cause 11: The VPLS PW is carried over a SR-MPLS BE over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 12: The VPLS PW is carried over a SR-MPLS TE over GRE tunnel, and the signaling protocol status of the VPLS PW is up. Cause 13: The VPLS PW is carried over a SR-MPLS TE over RSVP-TE tunnel, and the signaling protocol status of the VPLS PW is up.","1. Change the tunnel type of the VPLS PW. If the alarm is cleared, go to Step 3. If the alarm persists, go to Step 2. 2. Collect trap, log, and configuration information, and contact technical support personnel. 3. End.",hwNotSupportTunnelVSIName::VSI name. | hwPWPeerRemoteIp::Remote IP address. | hwNotSupportTunnelPwId::PW interface ID. | hwNotSupportTunnelType::Tunnel type.
dc,0x00F1043B,hwGtlCloudNearDeadline,Critical,qualityOfServiceAlarm,Raise,hwGtlCloudNearDeadline,1.3.6.1.4.1.2011.5.25.142.2.49,hwGtlCloudNearDeadlineCleared,"Cloud license is near deadline, remain time is [hwGtlRemainTime] day (s). The cloud-based license is about to expire. Reallocate new license resources before the grace period expires. Otherwise, related service functions may be unavailable or the configuration may become invalid. In VS mode, this trap is supported only by the admin VS.","Before the grace period expires, services are not affected.",Cloud license has been revoked.,,hwGtlRemainTime::Remaining time.
dc,0x00F10055,hwEvpnMacThresholdExceed,Warning,qualityOfServiceAlarm,Clear,hwEvpnMacThresholdExceed,1.3.6.1.4.1.2011.5.25.145.22.4,hwEvpnMacThresholdExceed,"The number of MACs in the EVPN instance fell below the lower threshold. (EVPNInstanceName=[EVPNInstanceName], EVPNInstanceMACCount=[EVPNInstanceMACCount], EVPNInstanceMaxMACValue=[EVPNInstanceMaxMACValue])",Services are not affected.,"Some MAC addresses were deleted from the EVPN instance, or network changes caused the MAC address decrease.","This trap message is informational only, and no action is required.",EVPNInstanceName::EVPN instance name | EVPNInstanceMACCount::Number of MAC addresses in the EVPN instance | EVPNInstanceMaxMACValue::Maximum number of MAC addresses allowed by the EVPN instance
dc,0x08130054,hwBoardFail,Critical,equipmentAlarm,Raise,hwBoardFail,1.3.6.1.4.1.2011.5.25.219.2.2.3,hwBoardFailResume-132665,"The board partially failed. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityType=[EntType],EntityTrapFaultID=132665,EntityTrapReasonDescr=The NP chip is under back pressure status, this may cause traffic drop.,EntityOperStatus=[EntityOperStatus]) The board experienced a partial failure. In VS mode, this trap is supported only by the admin VS.",Services on the board are affected and may even be interrupted. The problem must be solved immediately.,"The NP chip is under back pressure status, this may cause traffic drop.",,EntityPhysicalIndex::Indicates the index of the physical entity. | EntPhysicalIndex::Indicates the index of the physical entity. | EntityPhysicalName::Indicates the name of the physical entity. | EntType::Indicates the type of the physical entity. | EntityTrapFaultID::Indicates the error code. | EntityTrapReasonDescr::Indicates the description of the cause of the trap. | EntityOperStatus::Indicates the status of the physical entity.
dc,0x08130058,hwOpticalFail,Critical,equipmentAlarm,Raise,hwOpticalFail,1.3.6.1.4.1.2011.5.25.219.2.4.3,hwOpticalFailResume-136198,"The optical module failed partially. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntPhysicalName],EntityTrapFaultID=136198,ReasonDescription=The voltage of the optical module was too low.) The optical module failed partially. In VS mode, this trap is supported only by the admin VS.",Services may be interrupted.,The voltage of the optical module was too low.,"1. Run the display alarm all command to check whether alarm hwVoltFallingAlarm is generated. If so, go to Step 2. If not, go to Step 3. 2. Handle the power alarm and check whether the alarm is cleared. If the alarm is cleared, go to Step 8. If the alarm persists, go to Step 3. 3. Check the current of the board where the optical module resides. Check whether a voltage alarm is generated on the NMS.",EntityPhysicalIndex::Index of an entity. | EntPhysicalIndex::Index of an entity. | EntPhysicalName::Entity name. | EntityTrapFaultID::Fault code. | ReasonDescription::Possible cause.
dc,0x00F1043C,hwEmdiBierRtpSerOverThresholdResume,Warning,qualityOfServiceAlarm,Clear,hwEmdiBierRtpSerOverThreshold,1.3.6.1.4.1.2011.5.25.349.2.1.16,hwEmdiBierRtpSerOverThreshold,"Channel packet disorder rate drops below the threshold. (ChannelSourceAddress=[hwEmdiChannelSourceAddress], ChannelGroupAddress=[hwEmdiChannelGroupAddress], VpnLabel=[hwEmdiVpnLabel], BfirId=[hwEmdiBfirId], SubDomain=[hwEmdiSubDomain], Bsl=[hwEmdiBsl], SI=[hwEmdiSi], RtpSerThreshold=[hwEmdiRtpSerThreshold], RtpSer=[hwEmdiRtpSerValue])",There is no impact on the system.,The channel RTP-SER fell below the threshold for 60 consecutive detection periods.,,hwEmdiChannelSourceAddress::Source address of a channel. | hwEmdiChannelGroupAddress::Multicast address of a channel. | hwEmdiVpnLabel::VPN label. | hwEmdiBfirId::BIER domain ingress router. | hwEmdiSubDomain::Sub-domain. | hwEmdiBsl::BitString length. | hwEmdiSi::Set flag. | hwEmdiRtpSerThreshold::Current RTP-SER threshold. | hwEmdiRtpSerValue::RTP-SER value in the current detection period.
dc,0x08130057,hwCardInvalid,Critical,equipmentAlarm,Raise,hwCardInvalid,1.3.6.1.4.1.2011.5.25.219.2.3.5,hwCardInvalidResume-135448,"The card failed completely. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityType=[EntType],EntityTrapFaultID=135448,EntityTrapReasonDescr=The slave key component of the subcard was faulty.,EntityOperStatus=[EntityOperStatus]) The card failed completely. In VS mode, this trap is supported only by the admin VS.",The subcard is unavailable and all services on the subcard are interrupted.,The slave key component of the subcard was faulty.,"1. If the motherboard on which the subcard resides does not support FPIC, go to Step 5. 2. If the motherboard on which the subcard resides resets, no action is required. 3. Power off the subcard and then power it on again. 4. If the subcard cannot be registered or the alarm persists after the subcard is registered, replace the subcard. 5. If the motherboard supports only one subcard, power off the motherboard and then power it on again.",EntityPhysicalIndex::Indicates the index of the physical entity. | EntPhysicalIndex::Indicates the index of the physical entity. | EntityPhysicalName::Indicates the name of the physical entity. | EntType::Indicates the type of the physical entity. | EntityTrapFaultID::Indicates the error code. | EntityTrapReasonDescr::Indicates the description of the cause of the trap. | EntityOperStatus::Indicates the status of the physical entity.
dc,0x0813008A,hwPaisAlarm,Critical,communicationsAlarm,Clear,hwPaisAlarm,1.3.6.1.4.1.2011.5.25.157.2.42,hwPaisAlarm,"Indication signal in the higher order path alarm resume. (hwPhysicalPortIfIndex=[hwPhysicalPortIfIndex],BoardID=[hwPhysicalPortInSlot],CardID=[hwPhysicalPortInCard],PortID=[hwPhysicalPortInPort],HpID=[hwSDHHpPerfCurrentHpIndex],InterfaceName=[hwPhysicalPortName]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,Cause 0: The fault triggering the alarm was rectified. Cause 1: The fault triggering the alarm was rectified. Cause 2: The fault triggering the alarm was rectified. Cause 3: The fault triggering the alarm was rectified. Cause 4: The fault triggering the alarm was rectified.,,hwPhysicalPortIfIndex::Index of physical port. | hwPhysicalPortInSlot::Slot ID. | hwPhysicalPortInCard::Card ID. | hwPhysicalPortInPort::Port ID. | hwSDHHpPerfCurrentHpIndex::High-order path ID. | hwPhysicalPortName::Name of physical port.
